,price,timestamp,item_id,Unnamed: 0,name,types
2689,349999,2021-12-14 09:34:54,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
2690,350000,2021-12-14 09:34:54,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
2691,355555,2021-12-14 09:34:54,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
2692,368995,2021-12-14 09:34:54,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
2693,600000,2021-12-14 09:34:54,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
6914,500000,2021-12-14 11:37:29,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
6915,590000,2021-12-14 11:37:29,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
6916,598888,2021-12-14 11:37:29,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
6917,600000,2021-12-14 11:37:29,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11733,450000,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11734,455555,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11735,480555,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11736,500000,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11737,515000,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11738,555555,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11739,578000,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11740,588888,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11741,600000,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11742,600000,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11743,650000,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
11744,666666,2021-12-14 13:40:27,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16846,394000,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16847,395999,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16848,404420,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16849,410000,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16850,420000,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16851,455554,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16852,480000,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16853,490000,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16854,500000,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16855,500000,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16856,515000,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
16857,555555,2021-12-14 15:42:07,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
22134,339900,2021-12-14 18:04:40,5ad5cfbd86f7742c825d6104,985,OLI logistics department office key,['keys']
